id_reporte,fecha_registro,hora_registro,tipo_reporte,prioridad,canal,unidad_gaula_receptora,estado_caso,fase_operativa,nombre_reportante,identificacion_reportante,telefono_reportante,ubicacion_suceso,departamento,municipio,barrio_vereda,latitud,longitud,descripcion_hechos,numero_telefonico_asociado,alias_sospechoso,medio_cuenta_pago,monto_exigido_perdida_estimada,evidencias,observaciones_operador,modalidad,posible_grupo,riesgo_victima,tiempo_transcurrido_horas,patron_detectado,score_riesgo,tendencia_inteligencia,nodo_relacionado,dato_sintetico;;;
"NEXO-147-00101,2025-09-16,11:47,Secuestro,Alta,Línea 147,GAULA Antioquia,Escalado operativo,Seguimiento,Felipe Mejía Torres,DEMO-CC-72914686,3547207379,""Acacías, Zona Industrial"",Meta,Acacías,Zona Industrial,3.984839,-73.730733,""Reporte sintético de secuestro bajo modalidad suplantación autoridad en Acacías. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3025791384,Delta,Giro nacional / CTA-DEMO-019,67318386,Audio de llamada"; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: operador.demo2.,Suplantación autoridad,Célula financiera ficticia,Alto,35,llamadas_recurrentes,100,Concentración geográfica,Delta|CTA-DEMO-019|3025791384,SI;;
"NEXO-147-00102,2025-12-01,07:00,Extorsión,Baja,Línea 147,GAULA Cundinamarca,En análisis,Cierre,Valentina Peña Torres,DEMO-CC-71328684,3762762043,""Barrancabermeja, Zona Industrial"",Santander,Barrancabermeja,Zona Industrial,7.060431,-73.846194,""Reporte sintético de extorsión bajo modalidad suplantación autoridad en Barrancabermeja. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3353385192,Alias-734,Cuenta corresponsal / CTA-DEMO-393,4303962,Número telefónico,Dato ficticio para entrenamiento. Validar patrón: monto_bajo_repetitivo. Operador: analista.demo1.,Suplantación autoridad,Red local ficticia Alfa,Alto,118,monto_bajo_repetitivo,55,Crecimiento semanal,Alias-734|CTA-DEMO-393|3353385192,SI";;;
"NEXO-147-00103,2025-08-03,16:02,Fraude con intimidación,Crítica,WhatsApp Institucional,GAULA Meta,Recibido,Análisis de inteligencia,Natalia Moreno Mejía,DEMO-CC-98590602,3703715607,""Medellín, Zona Industrial"",Antioquia,Medellín,Zona Industrial,6.252278,-75.589163,""Reporte sintético de fraude con intimidación bajo modalidad falso servicio en Medellín. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3146976496,Alias-574,Cuenta corresponsal / CTA-DEMO-264,78441324,Audio de llamada"; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: operador.demo2.,Falso servicio,Sin determinar,Alto,93,llamadas_recurrentes,100,Incremento en horario nocturno,Alias-574|CTA-DEMO-264|3146976496,SI;;
"NEXO-147-00104,2026-04-29,19:41,Desaparición asociada,Crítica,Línea 147,GAULA Atlántico,Recibido,Recepción,Sebastián Castro Acosta,DEMO-CC-88511341,3595651312,""Buenaventura, Centro"",Valle del Cauca,Buenaventura,Centro,3.89872,-77.049721,""Reporte sintético de desaparición asociada bajo modalidad paquete retenido falso en Buenaventura. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3503509577,Alias-290,Sin cuenta reportada,55297664,Número telefónico,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Paquete retenido falso,Red digital ficticia Beta,Crítico,71,pico_mensajeria_nocturna,100,Reincidencia por alias,Alias-290|CTA-DEMO-804|3503509577,SI";;;
"NEXO-147-00105,2025-09-23,09:25,Secuestro,Media,Línea 147,GAULA Meta,En análisis,Verificación inicial,Andrés Mejía Salazar,DEMO-CC-71048709,3935310439,""Envigado, Norte"",Antioquia,Envigado,Norte,6.157776,-75.59959,""Reporte sintético de secuestro bajo modalidad suplantación autoridad en Envigado. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3448388379,Omega,Cripto billetera demo / CTA-DEMO-746,24322412,Correo amenazante"; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: monto_bajo_repetitivo. Operador: analista.demo2.,Suplantación autoridad,Sin determinar,Alto,180,monto_bajo_repetitivo,75,Incremento en horario nocturno,Omega|CTA-DEMO-746|3448388379,SI;;
"NEXO-147-00106,2026-05-16,06:28,Desaparición asociada,Media,Remisión Fiscalía,GAULA Valle,En verificación,Seguimiento,Natalia Herrera Molina,DEMO-CC-31095135,3607662119,""Medellín, Zona Industrial"",Antioquia,Medellín,Zona Industrial,6.233138,-75.607495,""Reporte sintético de desaparición asociada bajo modalidad paquete retenido falso en Medellín. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3197300167,Sombra,Cripto billetera demo / CTA-DEMO-450,0,Audio de llamada"; Correo amenazante; Número telefónico; Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo2.,Paquete retenido falso,Célula financiera ficticia,Medio,60,pico_mensajeria_nocturna,64,Uso de cuenta repetida,Sombra|CTA-DEMO-450|3197300167,SI
"NEXO-147-00107,2026-04-13,22:44,Secuestro,Media,Remisión Fiscalía,GAULA Cundinamarca,Recibido,Coordinación operativa,Paula Ortega Mejía,DEMO-CC-45737205,3081104656,""Bogotá, Barrio El Progreso"",Bogotá D.C.,Bogotá,Barrio El Progreso,4.680999,-74.057453,""Reporte sintético de secuestro bajo modalidad paquete retenido falso en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3632435442,Alias-295,Giro nacional / CTA-DEMO-771,0,Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: director.demo.,Paquete retenido falso,Grupo oportunista ficticio,Medio,85,pico_mensajeria_nocturna,59,Concentración geográfica,Alias-295|CTA-DEMO-771|3632435442,SI";;;
"NEXO-147-00108,2026-05-28,07:56,Extorsión,Crítica,Web Demo,GAULA Meta,En verificación,Recepción,Laura Cárdenas Castro,DEMO-CC-95766077,3533491017,""Palmira, Zona Industrial"",Valle del Cauca,Palmira,Zona Industrial,3.555723,-76.291915,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Palmira. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3823568093,R-21,Cripto billetera demo / CTA-DEMO-717,45100898,Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: operador.demo2.,Amenaza por mensajería,Célula financiera ficticia,Crítico,63,amenaza_familiar,100,Incremento en horario nocturno,R-21|CTA-DEMO-717|3823568093,SI";;;
"NEXO-147-00109,2026-03-18,19:07,Falso servicio,Alta,Remisión Fiscalía,GAULA Cundinamarca,En análisis,Análisis de inteligencia,Andrés Castro Ortega,DEMO-CC-99179040,3688033309,""Bogotá, Norte"",Bogotá D.C.,Bogotá,Norte,4.714254,-74.06546,""Reporte sintético de falso servicio bajo modalidad paquete retenido falso en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3887403982,El Mensajero,Cuenta corresponsal / CTA-DEMO-017,26080776,Mensaje SMS"; Captura WhatsApp; Número telefónico,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: operador.demo1.,Paquete retenido falso,Sin determinar,Alto,12,alias_reutilizado,97,Reincidencia por alias,El Mensajero|CTA-DEMO-017|3887403982,SI;
"NEXO-147-00110,2026-01-30,07:19,Desaparición asociada,Crítica,Línea 147,GAULA Bogotá,En verificación,Recepción,Carlos Mejía López,DEMO-CC-56721245,3416271027,""Acacías, Terminal"",Meta,Acacías,Terminal,3.947085,-73.747661,""Reporte sintético de desaparición asociada bajo modalidad falso servicio en Acacías. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3461358379,Comando 17,Sin cuenta reportada,5908469,Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: analista.demo2.,Falso servicio,Célula financiera ficticia,Bajo,101,alias_reutilizado,85,Reincidencia por alias,Comando 17|CTA-DEMO-896|3461358379,SI";;;
"NEXO-147-00111,2026-04-05,13:14,Extorsión,Crítica,Línea 147,GAULA Bogotá,Recibido,Análisis de inteligencia,Felipe Peña Rojas,DEMO-CC-95314289,3519714072,""Bogotá, Occidente"",Bogotá D.C.,Bogotá,Occidente,4.747054,-74.104522,""Reporte sintético de extorsión bajo modalidad extorsión digital en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3469133588,Delta,Nequi / CTA-DEMO-127,0,Correo amenazante"; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: analista.demo1.,Extorsión digital,Sin determinar,Crítico,183,amenaza_familiar,100,Crecimiento semanal,Delta|CTA-DEMO-127|3469133588,SI;;
"NEXO-147-00112,2026-05-21,18:13,Extorsión,Crítica,Línea 147,GAULA Bogotá,Cerrado preventivo,Coordinación operativa,Mateo Molina Moreno,DEMO-CC-55889352,3793241478,""Bogotá, Centro"",Bogotá D.C.,Bogotá,Centro,4.725213,-74.055551,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3755669929,Alias-955,Nequi / CTA-DEMO-442,5144054,Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: director.demo.,Cobro intimidatorio,Red digital ficticia Beta,Alto,185,pagos_billetera_digital,99,Uso de cuenta repetida,Alias-955|CTA-DEMO-442|3755669929,SI";;;
"NEXO-147-00113,2026-04-30,15:59,Fraude con intimidación,Alta,Remisión Fiscalía,GAULA Meta,En verificación,Análisis de inteligencia,Luisa Pardo Ortega,DEMO-CC-62572553,3452289488,""Bogotá, Sector Comercial"",Bogotá D.C.,Bogotá,Sector Comercial,4.742717,-74.076488,""Reporte sintético de fraude con intimidación bajo modalidad paquete retenido falso en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3247951124,Alias-153,Sin cuenta reportada,11297634,Número telefónico"; Correo amenazante; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: analista.demo1.,Paquete retenido falso,Célula financiera ficticia,Bajo,204,llamadas_recurrentes,78,Concentración geográfica,Alias-153|CTA-DEMO-015|3247951124,SI;
"NEXO-147-00114,2026-05-29,23:15,Desaparición asociada,Baja,WhatsApp Institucional,GAULA Meta,Asignado a unidad,Análisis de inteligencia,Mariana Gómez Torres,DEMO-CC-23395121,3961557885,""Cali, Occidente"",Valle del Cauca,Cali,Occidente,3.421035,-76.523178,""Reporte sintético de desaparición asociada bajo modalidad paquete retenido falso en Cali. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3771331880,Omega,Cuenta corresponsal / CTA-DEMO-863,21097600,Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo1.,Paquete retenido falso,Red digital ficticia Beta,Bajo,221,pico_mensajeria_nocturna,47,Concentración geográfica,Omega|CTA-DEMO-863|3771331880,SI";;;
"NEXO-147-00115,2026-01-20,11:07,Extorsión,Crítica,WhatsApp Institucional,GAULA Meta,Cerrado preventivo,Verificación inicial,Mariana Cárdenas López,DEMO-CC-96444796,3819402636,""Turbaco, Plaza Principal"",Bolívar,Turbaco,Plaza Principal,10.335484,-75.407311,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Turbaco. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3888381874,El Norte,Giro nacional / CTA-DEMO-512,50443716,Sin evidencia inicial,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: analista.demo1.,Amenaza por mensajería,Grupo oportunista ficticio,Alto,29,alias_reutilizado,100,Reincidencia por alias,El Norte|CTA-DEMO-512|3888381874,SI";;;
"NEXO-147-00116,2026-04-11,02:45,Extorsión,Media,Línea 147,GAULA Cundinamarca,En verificación,Recepción,Paula Castro Torres,DEMO-CC-47376513,3981064836,""Envigado, Centro"",Antioquia,Envigado,Centro,6.141934,-75.578151,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Envigado. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3245906230,Alias-572,Cripto billetera demo / CTA-DEMO-015,5409555,Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: operador.demo1.,Amenaza por mensajería,Sin determinar,Medio,99,llamadas_recurrentes,61,Reincidencia por alias,Alias-572|CTA-DEMO-015|3245906230,SI";;;
"NEXO-147-00117,2026-01-26,18:46,Desaparición asociada,Alta,Línea 147,GAULA Meta,En análisis,Cierre,Julián Ramírez Gómez,DEMO-CC-38175012,3859019969,""Envigado, Plaza Principal"",Antioquia,Envigado,Plaza Principal,6.202849,-75.574746,""Reporte sintético de desaparición asociada bajo modalidad suplantación autoridad en Envigado. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3034812976,Alias-444,Bancolombia cuenta ahorro / CTA-DEMO-006,0,Enlace sospechoso"; Audio de llamada; Número telefónico,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Suplantación autoridad,Sin determinar,Alto,114,pico_mensajeria_nocturna,88,Sin tendencia clara,Alias-444|CTA-DEMO-006|3034812976,SI;
"NEXO-147-00118,2025-07-03,07:50,Desaparición asociada,Crítica,WhatsApp Institucional,GAULA Bogotá,Recibido,Verificación inicial,Sebastián Herrera Cárdenas,DEMO-CC-91605793,3582096418,""Rionegro, Sur"",Antioquia,Rionegro,Sur,6.118763,-75.378915,""Reporte sintético de desaparición asociada bajo modalidad falso servicio en Rionegro. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3082905023,Omega,Cripto billetera demo / CTA-DEMO-930,76793851,Captura WhatsApp"; Número telefónico; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Falso servicio,Actor desconocido,Alto,43,pico_mensajeria_nocturna,100,Uso de cuenta repetida,Omega|CTA-DEMO-930|3082905023,SI;
"NEXO-147-00119,2025-08-13,07:53,Extorsión,Crítica,Línea 147,GAULA Atlántico,En análisis,Cierre,Natalia Peña Martínez,DEMO-CC-50991406,3209720531,""Villavicencio, Norte"",Meta,Villavicencio,Norte,4.176007,-73.587408,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Villavicencio. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3701639317,Omega,Giro nacional / CTA-DEMO-357,3991637,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: sin_patron_confirmado. Operador: analista.demo1.,Cobro intimidatorio,Red digital ficticia Beta,Bajo,100,sin_patron_confirmado,76,Concentración geográfica,Omega|CTA-DEMO-357|3701639317,SI";;;
"NEXO-147-00120,2025-01-18,22:37,Falso servicio,Alta,Web Demo,GAULA Valle,Asignado a unidad,Seguimiento,Felipe Molina López,DEMO-CC-10311525,3048194614,""Zipaquirá, Norte"",Cundinamarca,Zipaquirá,Norte,5.00531,-74.02368,""Reporte sintético de falso servicio bajo modalidad falso servicio en Zipaquirá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3353385192,El Norte,Sin cuenta reportada,7678770,Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo1.,Falso servicio,Red digital ficticia Beta,Bajo,176,pico_mensajeria_nocturna,72,Concentración geográfica,El Norte|CTA-DEMO-562|3353385192,SI";;;
"NEXO-147-00121,2026-03-16,00:06,Extorsión,Crítica,Línea 147,GAULA Bolívar,Recibido,Análisis de inteligencia,Paula Peña Torres,DEMO-CC-12171662,3675964749,""Bogotá, Centro"",Bogotá D.C.,Bogotá,Centro,4.735253,-74.104596,""Reporte sintético de extorsión bajo modalidad extorsión digital en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3932094064,Alias-839,Sin cuenta reportada,71307558,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: analista.demo1.,Extorsión digital,Célula financiera ficticia,Alto,47,pagos_billetera_digital,100,Uso de cuenta repetida,Alias-839|CTA-DEMO-003|3932094064,SI";;;
"NEXO-147-00122,2025-08-14,19:45,Extorsión,Alta,Línea 147,GAULA Meta,Asignado a unidad,Cierre,Mateo Torres Moreno,DEMO-CC-97750383,3494615353,""Facatativá, Occidente"",Cundinamarca,Facatativá,Occidente,4.781738,-74.379866,""Reporte sintético de extorsión bajo modalidad extorsión digital en Facatativá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3098895446,Sombra,Giro nacional / CTA-DEMO-328,0,Sin evidencia inicial,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: operador.demo2.,Extorsión digital,Red digital ficticia Beta,Alto,203,llamadas_recurrentes,83,Concentración geográfica,Sombra|CTA-DEMO-328|3098895446,SI";;;
"NEXO-147-00123,2026-05-10,20:58,Extorsión,Alta,Línea 147,GAULA Cundinamarca,Escalado operativo,Análisis de inteligencia,Valentina Molina Peña,DEMO-CC-64814285,3492917573,""Cali, Barrio El Progreso"",Valle del Cauca,Cali,Barrio El Progreso,3.420883,-76.569177,""Reporte sintético de extorsión bajo modalidad extorsión digital en Cali. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3399209173,Alias-860,Cripto billetera demo / CTA-DEMO-234,62002752,Correo amenazante"; Audio de llamada; Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: analista.demo1.,Extorsión digital,Sin determinar,Alto,94,pagos_billetera_digital,100,Uso de cuenta repetida,Alias-860|CTA-DEMO-234|3399209173,SI;
"NEXO-147-00124,2026-03-07,14:56,Extorsión,Baja,Línea 147,GAULA Bogotá,En análisis,Verificación inicial,Valentina Rodríguez Peña,DEMO-CC-45354274,3486553181,""Bogotá, Occidente"",Bogotá D.C.,Bogotá,Occidente,4.739773,-74.067128,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3309952603,El Primo,Cripto billetera demo / CTA-DEMO-876,4631483,Comprobante de pago"; Número telefónico; Mensaje SMS; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo2.,Amenaza por mensajería,Grupo oportunista ficticio,Medio,203,pico_mensajeria_nocturna,53,Concentración geográfica,El Primo|CTA-DEMO-876|3309952603,SI
"NEXO-147-00125,2025-10-07,23:49,Secuestro,Media,Línea 147,GAULA Atlántico,Escalado operativo,Análisis de inteligencia,Mariana Cárdenas Rodríguez,DEMO-CC-61314558,3455233541,""Puerto Gaitán, Centro"",Meta,Puerto Gaitán,Centro,4.335172,-72.054909,""Reporte sintético de secuestro bajo modalidad suplantación autoridad en Puerto Gaitán. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3766067567,Omega,Nequi / CTA-DEMO-110,17035842,Correo amenazante"; Audio de llamada; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: director.demo.,Suplantación autoridad,Red local ficticia Alfa,Medio,176,alias_reutilizado,70,Reincidencia por alias,Omega|CTA-DEMO-110|3766067567,SI;
"NEXO-147-00126,2026-03-06,14:33,Fraude con intimidación,Media,Presencial,GAULA Santander,En análisis,Coordinación operativa,Julián Moreno Cárdenas,DEMO-CC-60504987,3468976674,""Rionegro, Terminal"",Antioquia,Rionegro,Terminal,6.164826,-75.406254,""Reporte sintético de fraude con intimidación bajo modalidad paquete retenido falso en Rionegro. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3934977602,Omega,Sin cuenta reportada,5520412,Correo amenazante"; Número telefónico,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: director.demo.,Paquete retenido falso,Célula financiera ficticia,Bajo,24,alias_reutilizado,55,Reincidencia por alias,Omega|CTA-DEMO-256|3934977602,SI;;
"NEXO-147-00127,2026-04-28,09:53,Extorsión,Crítica,Línea 147,GAULA Cundinamarca,Recibido,Análisis de inteligencia,Santiago Suárez Molina,DEMO-CC-31057936,3386142951,""Cartagena, Barrio El Progreso"",Bolívar,Cartagena,Barrio El Progreso,10.401392,-75.460384,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Cartagena. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3397949082,Alias-283,Daviplata / CTA-DEMO-019,871036,Comprobante de pago"; Mensaje SMS; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: analista.demo1.,Amenaza por mensajería,Red local ficticia Alfa,Medio,27,llamadas_recurrentes,94,Reincidencia por alias,Alias-283|CTA-DEMO-019|3397949082,SI;
"NEXO-147-00128,2025-07-18,19:17,Extorsión,Crítica,Línea 147,GAULA Cundinamarca,Recibido,Coordinación operativa,Carolina Ramírez Gómez,DEMO-CC-17313196,3182870091,""Malambo, Barrio El Progreso"",Atlántico,Malambo,Barrio El Progreso,10.844504,-74.768893,""Reporte sintético de extorsión bajo modalidad extorsión digital en Malambo. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3382442374,Alias-223,Nequi / CTA-DEMO-524,76786274,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: analista.demo1.,Extorsión digital,Actor desconocido,Crítico,189,amenaza_familiar,100,Sin tendencia clara,Alias-223|CTA-DEMO-524|3382442374,SI";;;
"NEXO-147-00129,2026-04-28,03:18,Secuestro,Crítica,Correo Institucional,GAULA Meta,Recibido,Seguimiento,Diana López Ortega,DEMO-CC-75595788,3824348129,""Acacías, Zona Industrial"",Meta,Acacías,Zona Industrial,3.976516,-73.739251,""Reporte sintético de secuestro bajo modalidad falso servicio en Acacías. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3073792367,Alias-351,Cuenta corresponsal / CTA-DEMO-918,8924221,Audio de llamada"; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: analista.demo1.,Falso servicio,Red local ficticia Alfa,Bajo,198,amenaza_familiar,86,Concentración geográfica,Alias-351|CTA-DEMO-918|3073792367,SI;;
"NEXO-147-00130,2026-03-07,08:13,Extorsión,Alta,Correo Institucional,GAULA Antioquia,En análisis,Análisis de inteligencia,Andrés Castro Gómez,DEMO-CC-42119035,3335406276,""Bello, Terminal"",Antioquia,Bello,Terminal,6.31404,-75.585535,""Reporte sintético de extorsión bajo modalidad extorsión digital en Bello. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3289022248,Comando 17,Bancolombia cuenta ahorro / CTA-DEMO-357,480092,Enlace sospechoso"; Captura WhatsApp; Audio de llamada; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: operador.demo2.,Extorsión digital,Red digital ficticia Beta,Medio,120,pagos_billetera_digital,80,Uso de cuenta repetida,Comando 17|CTA-DEMO-357|3289022248,SI
"NEXO-147-00131,2025-03-21,08:11,Extorsión,Media,Web Demo,GAULA Meta,Recibido,Verificación inicial,Camila Acosta Rodríguez,DEMO-CC-30873876,3915564241,""Bogotá, Sector Comercial"",Bogotá D.C.,Bogotá,Sector Comercial,4.709914,-74.075087,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3609470818,El Mensajero,Cuenta corresponsal / CTA-DEMO-003,1462545,Sin evidencia inicial,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: director.demo.,Cobro intimidatorio,Actor desconocido,Alto,164,pagos_billetera_digital,67,Uso de cuenta repetida,El Mensajero|CTA-DEMO-003|3609470818,SI";;;
"NEXO-147-00132,2026-04-27,21:02,Falso servicio,Baja,Correo Institucional,GAULA Cundinamarca,Asignado a unidad,Verificación inicial,Luisa Pardo Pardo,DEMO-CC-99549599,3304369608,""Granada, Centro"",Meta,Granada,Centro,3.541599,-73.71018,""Reporte sintético de falso servicio bajo modalidad falso servicio en Granada. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3989988589,Alias-917,Bancolombia cuenta ahorro / CTA-DEMO-013,3288720,Comprobante de pago"; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: director.demo.,Falso servicio,Red local ficticia Alfa,Bajo,45,pagos_billetera_digital,41,Uso de cuenta repetida,Alias-917|CTA-DEMO-013|3989988589,SI;;
"NEXO-147-00133,2025-09-13,18:59,Desaparición asociada,Crítica,Web Demo,GAULA Santander,Escalado operativo,Análisis de inteligencia,Laura Vargas Rodríguez,DEMO-CC-71024590,3724989808,""Villavicencio, Barrio El Progreso"",Meta,Villavicencio,Barrio El Progreso,4.170957,-73.608972,""Reporte sintético de desaparición asociada bajo modalidad suplantación autoridad en Villavicencio. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3245906230,El Primo,Bancolombia cuenta ahorro / CTA-DEMO-212,70839498,Número telefónico,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: director.demo.,Suplantación autoridad,Actor desconocido,Crítico,141,pagos_billetera_digital,100,Uso de cuenta repetida,El Primo|CTA-DEMO-212|3245906230,SI";;;
"NEXO-147-00134,2026-03-13,11:27,Extorsión,Media,Línea 147,GAULA Meta,Cerrado preventivo,Seguimiento,Diana Herrera Suárez,DEMO-CC-61620702,3904477174,""Bogotá, Norte"",Bogotá D.C.,Bogotá,Norte,4.728188,-74.089723,""Reporte sintético de extorsión bajo modalidad paquete retenido falso en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3886620608,El Norte,Cripto billetera demo / CTA-DEMO-810,13527490,Enlace sospechoso"; Captura WhatsApp; Número telefónico; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: operador.demo2.,Paquete retenido falso,Red local ficticia Alfa,Medio,10,alias_reutilizado,69,Reincidencia por alias,El Norte|CTA-DEMO-810|3886620608,SI
"NEXO-147-00135,2026-04-10,22:50,Extorsión,Media,Línea 147,GAULA Cundinamarca,Asignado a unidad,Seguimiento,Andrea Ortega Ortega,DEMO-CC-20170237,3235570248,""Cali, Barrio El Progreso"",Valle del Cauca,Cali,Barrio El Progreso,3.448964,-76.513359,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Cali. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3158451630,Sombra,Nequi / CTA-DEMO-251,19023170,Número telefónico,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: director.demo.,Amenaza por mensajería,Sin determinar,Bajo,55,llamadas_recurrentes,59,Incremento en horario nocturno,Sombra|CTA-DEMO-251|3158451630,SI";;;
